Boy   0d   7d  14d   1m   2m   3m   4m   5m   6m   12m   18m  24m  30m
  1 2.88 2.95 3.40 3.99 4.90 5.55 6.47 7.05 7.71  9.86 10.90 11.8 13.1
  0 2.83 3.08 3.17 3.70 4.85 5.24 6.03 6.45 6.96  9.03 10.30 11.2 12.3
  0 2.54 3.18 3.21 3.70 4.56 5.44 6.25 6.58 6.97  9.00 10.50 11.1 12.2
  0 2.88 3.20 3.50 3.80 4.67 5.54 6.26 6.81 6.98  9.16 10.50 11.6 12.6
  0 2.89 3.13 3.24 3.56 4.90 5.58 6.04 6.61 6.98  9.10 10.40 11.5 12.5
  0 2.62 2.93 3.08 3.83 4.38 5.20 6.05 6.66 6.73  9.06 10.20 11.1 12.4
  0 2.69 2.76 3.21 3.84 4.49 5.21 5.94 6.42 6.81  8.69  9.93 10.9 12.1
  1 2.95 3.17 3.27 3.95 5.09 5.88 6.66 7.10 7.35  9.71 10.90 11.9 13.2
  0 3.02 3.37 3.53 4.19 4.92 5.49 6.29 7.07 7.43  9.46 10.40 11.5 12.6
  1 2.92 3.16 3.53 4.32 4.83 5.92 6.64 7.16 7.66  9.65 11.00 12.2 13.3
  0 2.87 2.89 3.31 3.79 4.69 5.20 5.90 6.43 6.96  8.82 10.30 11.6 12.2
  1 3.52 3.87 4.45 4.73 5.79 6.68 7.24 8.00 8.35 10.60 11.70 12.9 13.8
  1 2.92 3.50 3.54 4.00 5.07 6.04 6.58 7.36 7.60  9.76 11.10 12.2 13.3
  1 2.77 2.82 3.15 3.92 4.77 5.48 6.12 6.87 7.49  9.48 10.60 12.0 12.9
  1 3.14 3.51 3.81 4.40 5.40 6.26 6.99 7.34 7.81 10.20 11.30 12.5 13.4
  0 3.01 3.11 3.58 3.91 4.78 5.72 6.36 6.59 7.26  9.27 10.40 11.4 12.6
  1 2.78 3.12 3.06 4.00 4.83 5.69 6.38 6.88 7.75  9.32 10.80 11.9 13.2
  0 2.75 2.90 3.09 3.58 4.37 5.33 5.89 6.43 6.94  8.76 10.20 11.1 12.3
  0 3.03 3.38 3.64 3.88 4.87 5.69 6.23 6.65 7.33  9.16 10.50 11.7 12.7
  1 3.34 3.74 3.74 4.75 5.24 6.47 6.91 7.46 7.87  9.93 11.60 12.5 13.6
  0 2.67 2.62 3.09 3.56 4.23 5.03 5.67 6.23 6.76  8.53 10.00 10.9 12.2
  0 2.89 3.08 3.46 3.98 4.74 5.34 6.18 6.70 7.20  9.06 10.50 11.5 12.5
  0 3.19 3.34 3.75 4.18 4.87 5.67 6.57 7.00 7.36  9.33 10.60 11.7 12.7
  0 2.82 3.10 3.06 3.91 4.83 5.43 6.00 6.60 6.77  9.04 10.60 11.3 12.7
  1 2.57 2.81 3.60 3.88 4.75 5.56 6.43 7.16 7.44  9.40 10.80 11.8 12.7
  0 2.55 2.95 3.29 3.82 4.75 5.47 6.17 6.52 7.05  9.32 10.30 11.2 12.4
  1 3.07 3.41 3.64 4.29 5.05 6.17 6.72 7.30 7.97  9.95 11.30 12.4 13.5
  0 2.57 2.72 2.88 3.28 4.30 5.04 5.74 6.12 6.60  8.51  9.93 11.0 12.0
